Date,Description,Category,Amount
2026-06-01,Ethio Telecom Bill,Utilities,850
2026-06-02,Shoa Supermarket,Groceries,2100
2026-06-03,Ride Share Home,Transport,180
2026-06-04,Kaldi's Coffee,Food & Drink,220
2026-06-05,Netflix Subscription,Entertainment,450
2026-06-06,Rent Payment,Housing,9000
2026-06-07,Bole Pharmacy,Health,600
2026-06-08,Fuel Station,Transport,900
2026-06-09,Novis Supermarket,Groceries,1750
2026-06-10,Gym Membership,Health,700
2026-06-11,Dinner at Yod Abyssinia,Food & Drink,950
2026-06-12,Electricity Bill,Utilities,1200
2026-06-13,Book Purchase,Education,300
2026-06-14,Ride Share to Campus,Transport,150
2026-06-15,Mobile Data Bundle,Utilities,500
2026-06-16,Cinema Tickets,Entertainment,300
2026-06-17,Shoa Supermarket,Groceries,1980
2026-06-18,Water Bill,Utilities,400
2026-06-19,Clothing Purchase,Shopping,2200
2026-06-20,Coffee with Friends,Food & Drink,180
2026-06-21,Laptop Accessory,Shopping,1500
2026-06-22,Ride Share Home,Transport,200
2026-06-23,Pharmacy - Vitamins,Health,350
2026-06-24,Restaurant Lunch,Food & Drink,400
2026-06-25,Internet Bill,Utilities,1500
2026-06-26,Textbook Printing,Education,250
2026-06-27,Grocery Run,Groceries,1600
2026-06-28,Weekend Trip Fuel,Transport,700
2026-06-29,Streaming Service,Entertainment,300
2026-06-30,Rent Top-up,Housing,500
